[13.09.2026 18:54:47] ID:8930466795 | @cevetri | aula | нажал кнопку: music
[13.09.2026 18:54:50] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:54:53] ID:8930466795 | @cevetri | aula | нажал кнопку: music_pause
[13.09.2026 18:54:55] ID:8930466795 | @cevetri | aula | нажал кнопку: music_pause
[13.09.2026 18:54:58] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:55:04] ID:8930466795 | @cevetri | aula | нажал кнопку: back
[13.09.2026 18:55:13] ID:8930466795 | @cevetri | aula | нажал кнопку: volume
[13.09.2026 18:55:15] ID:8930466795 | @cevetri | aula | нажал кнопку: vol_set_0
[13.09.2026 18:55:16] ID:8930466795 | @cevetri | aula | нажал кнопку: vol_set_100
[13.09.2026 18:55:18] ID:8930466795 | @cevetri | aula | нажал кнопку: vol_set_50
[13.09.2026 18:55:20] ID:8930466795 | @cevetri | aula | нажал кнопку: vol_set_75
[13.09.2026 18:55:25] ID:8930466795 | @cevetri | aula | нажал кнопку: back
[13.09.2026 18:55:32] ID:8930466795 | @cevetri | aula | нажал кнопку: screenshot
[13.09.2026 18:55:34] ID:8930466795 | @cevetri | aula | нажал кнопку: volume
[13.09.2026 18:56:08] ID:8930466795 | @cevetri | aula | нажал кнопку: back
[13.09.2026 18:56:16] ID:8930466795 | @cevetri | aula | нажал кнопку: show_image
[13.09.2026 18:56:18] ID:8930466795 | @cevetri | aula | нажал кнопку: img_dur_60
[13.09.2026 18:57:20] ID:8930466795 | @cevetri | aula | нажал /start
[13.09.2026 19:08:13] ID:6828671128 | @fxtisa | . | нажал /start
[13.09.2026 19:08:22] ID:6828671128 | @fxtisa | . | вошёл в бота (пароль верный)
[13.09.2026 19:08:44] ID:6828671128 | @fxtisa | . | нажал кнопку: screenshot
[13.09.2026 19:08:55] ID:6828671128 | @fxtisa | . | нажал кнопку: pc_info
[13.09.2026 19:09:17] ID:6828671128 | @fxtisa | . | нажал кнопку: back
[13.09.2026 19:09:22] ID:6828671128 | @fxtisa | . | нажал кнопку: pc_control
[13.09.2026 19:09:27] ID:6828671128 | @fxtisa | . | нажал кнопку: back
[13.09.2026 19:09:31] ID:6828671128 | @fxtisa | . | нажал кнопку: launch
[13.09.2026 19:09:32] ID:6828671128 | @fxtisa | . | нажал кнопку: back
[13.09.2026 19:09:37] ID:6828671128 | @fxtisa | . | нажал кнопку: files
[13.09.2026 19:10:02] ID:6828671128 | @fxtisa | . | нажал кнопку: fm:zip:1149:1
[13.09.2026 19:10:14] ID:6828671128 | @fxtisa | . | нажал кнопку: fm:dl:1149:1
[13.09.2026 19:10:16] ID:6828671128 | @fxtisa | . | нажал кнопку: fm:zip:1149:1
[13.09.2026 19:10:33] ID:6828671128 | @fxtisa | . | нажал кнопку: fm:zip:1149:1
[13.09.2026 19:10:36] ID:6828671128 | @fxtisa | . | нажал кнопку: fm:open:1149:1
[13.09.2026 19:10:51] ID:6828671128 | @fxtisa | . | нажал кнопку: back
[13.09.2026 19:10:55] ID:6828671128 | @fxtisa | . | нажал кнопку: show_image
[13.09.2026 19:10:57] ID:6828671128 | @fxtisa | . | нажал кнопку: img_dur_60
[13.09.2026 19:11:35] ID:6828671128 | @fxtisa | . | нажал кнопку: music
[13.09.2026 19:11:37] ID:6828671128 | @fxtisa | . | нажал кнопку: music_pause
[13.09.2026 19:11:38] ID:6828671128 | @fxtisa | . | нажал кнопку: music_next
[13.09.2026 19:11:41] ID:6828671128 | @fxtisa | . | нажал кнопку: music_next
[13.09.2026 19:11:54] ID:6828671128 | @fxtisa | . | нажал кнопку: back
[13.09.2026 19:11:57] ID:6828671128 | @fxtisa | . | нажал кнопку: kill
